club_name,year,price_full_7day_adult,price_under_12,price_junior_12_18,price_colt_21,price_intermediate_25,price_intermediate_28,price_intermediate_31_35,price_student,price_5day_adult,price_country_member,total_historic_revenue,total_member_count
Royal Birkdale Golf Club,2026,"£2,200.00",300,500,800,1100,1500,1850,800,1600,1200,890000,520
Royal Birkdale Golf Club,2027,"£2,300.00",320,525,840,1150,1575,1940,840,1680,1260,940000,525
Royal Lytham & St Annes Golf Club,2026,"£2,450.00",350,550,900,1250,1650,2050,900,1750,1350,980000,500
Royal Lytham & St Annes Golf Club,2027,"£2,560.00",370,575,940,1310,1730,2140,940,1830,1410,1030000,505
Royal Liverpool Golf Club,2026,"£2,400.00",340,530,880,1220,1600,2000,880,1700,1300,960000,510
Royal Liverpool Golf Club,2027,"£2,500.00",355,550,915,1270,1670,2080,915,1770,1355,1000000,515
Formby Golf Club,2026,"£2,000.00",250,450,750,1050,1400,1700,750,1450,900,720000,450
Formby Golf Club,2027,"£2,100.00",265,475,790,1100,1470,1785,790,1520,945,760000,455
Hillside Golf Club,2026,"£1,950.00",220,420,700,1000,1350,1650,700,1400,850,650000,430
Hillside Golf Club,2027,"£2,040.00",230,440,735,1050,1415,1730,735,1465,890,685000,435
Southport & Ainsdale Golf Club,2026,"£1,850.00",200,400,680,950,1300,1600,680,1320,800,610000,440
Southport & Ainsdale Golf Club,2027,"£1,930.00",210,420,710,990,1355,1670,710,1380,835,638000,445
West Lancashire Golf Club,2026,"£1,800.00",190,380,660,920,1260,1550,660,1280,780,590000,435
West Lancashire Golf Club,2027,"£1,880.00",200,400,690,960,1315,1620,690,1335,815,618000,440
Wallasey Golf Club,2026,"£1,750.00",180,360,630,890,1220,1500,630,1240,750,560000,420
Wallasey Golf Club,2027,"£1,820.00",190,375,655,925,1270,1560,655,1290,780,585000,425
Pleasington Golf Club,2026,"£1,741.00",123,177,550,850,1150,1450,550,1207,650,380000,480
Pleasington Golf Club,2027,"£1,820.00",130,185,580,890,1200,1520,580,1260,680,405000,490
The Manchester Golf Club,2026,"£1,655.00",50,110,510,1080,1310,1655,295,1240,805,620000,490
The Manchester Golf Club,2027,"£1,720.00",55,115,530,1120,1360,1720,305,1290,835,645000,495
Bolton Golf Club,2026,"£1,545.00",10,120,583,858,1167,1545,583,1108,560,320000,410
Bolton Golf Club,2027,"£1,610.00",15,130,610,895,1220,1610,610,1155,585,340000,420
Delamere Forest Golf Club,2026,"£1,720.00",170,340,600,860,1190,1470,600,1210,730,530000,410
Delamere Forest Golf Club,2027,"£1,790.00",180,355,625,895,1240,1530,625,1260,760,555000,415
Sandiway Golf Club,2026,"£1,680.00",160,320,580,830,1150,1430,580,1180,710,500000,400
Sandiway Golf Club,2027,"£1,750.00",170,335,605,865,1200,1490,605,1230,740,523000,405
Wilmslow Golf Club,2026,"£1,820.00",185,370,640,910,1250,1550,640,1270,770,580000,430
Wilmslow Golf Club,2027,"£1,900.00",195,385,670,950,1305,1620,670,1325,805,608000,435
Prestbury Golf Club,2026,"£1,760.00",175,350,620,880,1210,1500,620,1230,740,540000,415
Prestbury Golf Club,2027,"£1,830.00",185,365,645,915,1260,1560,645,1280,770,565000,420
Stockport Golf Club,2026,"£1,710.00",165,330,590,850,1170,1450,590,1190,720,510000,405
Stockport Golf Club,2027,"£1,780.00",175,345,615,885,1220,1510,615,1240,750,534000,410
Ringway Golf Club,2026,"£1,944.00",180,380,680,1020,1400,1944,680,1350,850,680000,460
Ringway Golf Club,2027,"£2,020.00",190,395,710,1060,1455,2020,710,1400,885,710000,465
Bramall Park Golf Club,2026,"£1,900.00",175,360,650,980,1350,1900,650,1320,820,640000,440
Bramall Park Golf Club,2027,"£1,980.00",185,375,675,1020,1405,1980,675,1375,855,668000,445
Caldy Golf Club,2026,"£1,690.00",150,310,570,820,1140,1420,570,1170,700,490000,395
Caldy Golf Club,2027,"£1,760.00",160,325,595,855,1190,1480,595,1220,730,513000,400
Heswall Golf Club,2026,"£1,620.00",140,290,540,780,1080,1360,540,1110,660,460000,385
Heswall Golf Club,2027,"£1,690.00",150,305,565,815,1130,1420,565,1160,690,482000,390
Widnes Golf Club,2026,"£1,390.00",100,200,480,850,1100,1390,480,995,600,290000,360
Widnes Golf Club,2027,"£1,445.00",105,210,500,885,1145,1445,500,1035,625,302000,365
Lancaster Golf Club,2026,"£1,350.00",110,210,480,720,980,1200,480,980,520,280000,380
Lancaster Golf Club,2027,"£1,410.00",115,220,500,750,1020,1250,500,1020,545,295000,385
Fairhaven Golf Club,2026,"£1,650.00",150,300,550,800,1110,1390,550,1140,680,470000,390
Fairhaven Golf Club,2027,"£1,720.00",160,315,575,835,1160,1450,575,1190,710,492000,395
St Annes Old Links Golf Club,2026,"£1,700.00",160,320,580,830,1150,1430,580,1180,710,500000,400
St Annes Old Links Golf Club,2027,"£1,770.00",170,335,605,865,1200,1490,605,1230,740,523000,405
Clitheroe Golf Club,2026,"£1,480.00",120,240,510,740,1000,1250,510,1040,600,340000,380
Clitheroe Golf Club,2027,"£1,540.00",125,250,530,770,1045,1305,530,1085,625,356000,385
Ormskirk Golf Club,2026,"£1,580.00",130,260,530,770,1050,1320,530,1090,630,390000,395
Ormskirk Golf Club,2027,"£1,645.00",135,270,550,800,1095,1375,550,1135,655,408000,400
Hesketh Golf Club,2026,"£1,600.00",135,270,540,780,1060,1340,540,1100,640,400000,390
Hesketh Golf Club,2027,"£1,665.00",140,280,560,810,1105,1395,560,1145,665,418000,395
Whitefield Golf Club,2026,"£1,150.00",19,135,529,685,895,1150,365,850,520,250000,340
Whitefield Golf Club,2027,"£1,195.00",20,140,550,710,930,1195,380,885,540,260000,345
Heaton Moor Golf Club,2026,"£1,080.00",32,64,293,458,725,1080,293,812,204,220000,325
Heaton Moor Golf Club,2027,"£1,125.00",35,68,305,475,755,1125,305,845,212,229000,330
Whalley Golf Club,2026,"£760.00",90,135,320,540,650,760,320,550,400,180000,310
Whalley Golf Club,2027,"£790.00",95,140,335,560,675,790,335,575,415,188000,315
Sandbach Golf Club,2026,"£705.00",45,150,275,480,600,705,275,605,385,160000,280
Sandbach Golf Club,2027,"£735.00",48,155,285,500,625,735,285,630,400,167000,285
Dukinfield Golf Club,2026,"£1,100.00",80,160,420,650,880,1100,420,800,480,230000,350
Dukinfield Golf Club,2027,"£1,145.00",85,168,438,678,918,1145,438,835,500,240000,355
Fairfield Golf Club,2026,"£1,050.00",75,150,390,610,830,1050,390,770,450,210000,330
Fairfield Golf Club,2027,"£1,090.00",78,156,405,635,865,1090,405,800,470,218000,335
Morecambe Golf Club,2026,"£1,280.00",100,200,450,680,920,1150,450,920,500,260000,360
Morecambe Golf Club,2027,"£1,335.00",105,210,470,710,960,1200,470,960,520,273000,365
Fleetwood Golf Club,2026,"£1,220.00",95,190,430,650,880,1100,430,880,480,240000,350
Fleetwood Golf Club,2027,"£1,270.00",100,200,450,680,920,1150,450,920,500,252000,355
Blackpool North Shore Golf Club,2026,"£1,310.00",105,205,460,700,940,1180,460,940,510,270000,365
Blackpool North Shore Golf Club,2027,"£1,365.00",110,215,480,730,980,1230,480,980,530,284000,370
Preston Golf Club,2026,"£1,420.00",115,225,490,730,990,1240,490,1010,560,310000,375
Preston Golf Club,2027,"£1,480.00",120,235,510,760,1030,1290,510,1050,580,325000,380
Penwortham Golf Club,2026,"£1,380.00",110,215,480,710,960,1210,480,980,540,290000,370
Penwortham Golf Club,2027,"£1,440.00",115,225,500,740,1000,1260,500,1020,560,305000,375
Southport Old Links Golf Club,2026,"£1,320.00",100,200,460,690,930,1170,460,940,510,275000,360
Southport Old Links Golf Club,2027,"£1,375.00",105,210,480,720,970,1220,480,980,530,289000,365
Dean Wood Golf Club,2026,"£1,290.00",95,190,450,670,900,1140,450,910,490,265000,355
Dean Wood Golf Club,2027,"£1,345.00",100,200,470,700,940,1190,470,950,510,278000,360
Wigan Golf Club,2026,"£1,250.00",90,180,430,650,870,1100,430,890,470,250000,345
Wigan Golf Club,2027,"£1,300.00",95,190,450,680,910,1150,450,930,490,262000,350
Hindley Hall Golf Club,2026,"£1,220.00",85,175,420,630,850,1070,420,860,460,240000,340
Hindley Hall Golf Club,2027,"£1,270.00",90,185,440,660,890,1120,440,895,480,251000,345
Ashton-in-Makerfield Golf Club,2026,"£1,200.00",80,170,410,620,830,1050,410,840,450,230000,335
Ashton-in-Makerfield Golf Club,2027,"£1,250.00",85,180,430,650,870,1100,430,875,470,241000,340
Haydock Park Golf Club,2026,"£1,340.00",105,210,470,700,950,1190,470,950,520,285000,365
Haydock Park Golf Club,2027,"£1,395.00",110,220,490,730,990,1240,490,990,540,299000,370
Grange Park Golf Club,2026,"£1,450.00",115,230,500,750,1010,1270,500,1020,570,325000,380
Grange Park Golf Club,2027,"£1,510.00",120,240,520,780,1055,1325,520,1065,595,340000,385
Warrington Golf Club,2026,"£1,550.00",125,250,540,800,1080,1360,540,1090,610,365000,390
Warrington Golf Club,2027,"£1,615.00",130,260,560,835,1125,1415,560,1135,635,382000,395
Frodsham Golf Club,2026,"£1,180.00",80,165,400,600,810,1030,400,820,440,220000,330
Frodsham Golf Club,2027,"£1,230.00",85,175,420,625,845,1075,420,855,460,230000,335
Runcorn Golf Club,2026,"£1,150.00",75,160,390,590,790,1000,390,800,430,210000,325
Runcorn Golf Club,2027,"£1,200.00",80,170,410,615,825,1045,410,835,450,220000,330
Chester Golf Club,2026,"£1,400.00",110,220,480,720,970,1220,480,980,540,300000,370
Chester Golf Club,2027,"£1,460.00",115,230,500,750,1010,1270,500,1020,560,315000,375
Eaton Golf Club (Chester),2026,"£1,520.00",120,240,520,770,1050,1320,520,1060,590,350000,385
Eaton Golf Club (Chester),2027,"£1,585.00",125,250,540,805,1095,1375,540,1105,615,367000,390
Vicars Cross Golf Club,2026,"£1,360.00",105,210,470,700,940,1180,470,950,520,290000,365
Vicars Cross Golf Club,2027,"£1,415.00",110,220,490,730,980,1230,490,990,540,303000,370
Bromborough Golf Club,2026,"£1,480.00",115,230,500,750,1010,1270,500,1030,570,335000,380
Bromborough Golf Club,2027,"£1,540.00",120,240,520,780,1055,1325,520,1075,595,350000,385
Prenton Golf Club,2026,"£1,330.00",100,200,460,680,920,1160,460,930,500,280000,360
Prenton Golf Club,2027,"£1,385.00",105,210,480,710,960,1210,480,970,520,293000,365
Wirral Golf Club,2026,"£1,260.00",90,180,430,640,860,1090,430,880,470,250000,345
Wirral Golf Club,2027,"£1,310.00",95,190,450,670,900,1140,450,920,490,261000,350
Leasowe Golf Club,2026,"£1,240.00",85,175,420,630,840,1070,420,860,460,245000,340
Leasowe Golf Club,2027,"£1,290.00",90,185,440,660,880,1120,440,895,480,256000,345
Bidston Golf Club,2026,"£1,180.00",80,165,400,600,800,1020,400,820,440,225000,330
Bidston Golf Club,2027,"£1,230.00",85,175,420,625,835,1065,420,855,460,236000,335
Childwall Golf Club,2026,"£1,510.00",120,240,520,770,1040,1310,520,1050,580,345000,385
Childwall Golf Club,2027,"£1,575.00",125,250,540,805,1085,1365,540,1095,605,362000,390
Woolton Golf Club,2026,"£1,430.00",110,220,490,730,980,1240,490,1000,550,315000,375
Woolton Golf Club,2027,"£1,490.00",115,230,510,760,1020,1290,510,1040,570,330000,380
Lee Park Golf Club,2026,"£1,270.00",90,185,440,650,870,1100,440,880,480,255000,350
Lee Park Golf Club,2027,"£1,320.00",95,195,460,680,910,1150,460,920,500,267000,355
Allerton Manor Golf Club,2026,"£1,100.00",70,150,380,570,760,960,380,770,410,200000,320
Allerton Manor Golf Club,2027,"£1,145.00",75,160,400,595,795,1005,400,805,430,210000,325
West Derby Golf Club,2026,"£1,390.00",105,210,470,700,950,1200,470,970,530,295000,365
West Derby Golf Club,2027,"£1,445.00",110,220,490,730,990,1250,490,1010,550,308000,370
Huyton & Prescot Golf Club,2026,"£1,220.00",85,175,420,620,840,1060,420,850,450,235000,340
Huyton & Prescot Golf Club,2027,"£1,270.00",90,185,440,650,880,1110,440,885,470,246000,345
Kirkby Valley Golf Club,2026,"£1,050.00",65,140,360,540,720,910,360,735,390,185000,310
Kirkby Valley Golf Club,2027,"£1,090.00",70,145,375,560,750,950,375,765,405,194000,315
Didsbury Golf Club,2026,"£1,380.00",105,210,470,700,940,1190,470,960,520,290000,365
Didsbury Golf Club,2027,"£1,435.00",110,220,490,730,980,1240,490,1000,540,303000,370
Chorlton-cum-Hardy Golf Club,2026,"£1,350.00",100,200,460,680,920,1160,460,940,510,280000,360
Chorlton-cum-Hardy Golf Club,2027,"£1,405.00",105,210,480,710,960,1210,480,980,530,293000,365
Withington Golf Club,2026,"£1,320.00",95,195,450,670,900,1130,450,920,490,270000,355
Withington Golf Club,2027,"£1,375.00",100,205,470,700,940,1180,470,960,510,282000,360
Sale Golf Club,2026,"£1,410.00",110,220,480,720,970,1220,480,980,540,305000,375
Sale Golf Club,2027,"£1,470.00",115,230,500,750,1010,1270,500,1020,560,320000,380
Ashton-on-Mersey Golf Club,2026,"£1,190.00",80,165,400,600,810,1020,400,830,440,225000,330
Ashton-on-Mersey Golf Club,2027,"£1,240.00",85,175,420,625,845,1065,420,865,460,235000,335
Altrincham Golf Course,2026,"£980.00",60,130,340,500,670,850,340,680,360,170000,295
Altrincham Golf Course,2027,"£1,020.00",65,135,355,520,700,890,355,710,375,178000,300
Dunham Forest Golf Club,2026,"£1,780.00",170,340,610,870,1200,1490,610,1220,740,550000,415
Dunham Forest Golf Club,2027,"£1,850.00",180,355,635,905,1250,1550,635,1270,770,575000,420
Mere Golf Resort & Spa,2026,"£2,100.00",260,470,780,1080,1450,1800,780,1500,950,780000,460
Mere Golf Resort & Spa,2027,"£2,200.00",275,495,820,1135,1520,1890,820,1575,995,825000,465
Knutsford Golf Club,2026,"£1,250.00",85,180,420,630,850,1070,420,870,460,240000,340
Knutsford Golf Club,2027,"£1,300.00",90,190,440,660,890,1120,440,905,480,251000,345
High Legh Park Golf Club,2026,"£1,360.00",100,200,460,680,920,1170,460,940,510,285000,360
High Legh Park Golf Club,2027,"£1,415.00",105,210,480,710,960,1220,480,980,530,298000,365
Heyrose Golf Club,2026,"£1,280.00",90,185,440,650,870,1100,440,890,480,260000,350
Heyrose Golf Club,2027,"£1,330.00",95,195,460,680,910,1150,460,930,500,272000,355
Davenport Golf Club,2026,"£1,420.00",110,220,480,720,970,1230,480,990,540,310000,370
Davenport Golf Club,2027,"£1,480.00",115,230,500,750,1010,1280,500,1030,560,325000,375
Bramhall Golf Club,2026,"£1,750.00",165,330,590,850,1170,1460,590,1210,720,520000,410
Bramhall Golf Club,2027,"£1,820.00",175,345,615,885,1220,1520,615,1260,750,544000,415
Hazel Grove Golf Club,2026,"£1,370.00",100,205,460,690,930,1180,460,950,510,285000,360
Hazel Grove Golf Club,2027,"£1,425.00",105,215,480,720,970,1230,480,990,530,298000,365
Romiley Golf Club,2026,"£1,340.00",95,195,450,670,900,1150,450,930,500,275000,355
Romiley Golf Club,2027,"£1,395.00",100,205,470,700,940,1200,470,970,520,288000,360
Mellor & Townscliffe Golf Club,2026,"£1,260.00",85,180,430,640,860,1080,430,870,470,245000,345
Mellor & Townscliffe Golf Club,2027,"£1,310.00",90,190,450,670,900,1130,450,905,490,256000,350
Marple Golf Club,2026,"£1,290.00",90,185,440,650,880,1110,440,890,480,255000,350
Marple Golf Club,2027,"£1,340.00",95,195,460,680,920,1160,460,930,500,267000,355
New Mills Golf Club,2026,"£1,120.00",70,150,380,560,760,960,380,780,410,200000,320
New Mills Golf Club,2027,"£1,165.00",75,160,400,585,795,1005,400,815,430,210000,325
Disley Golf Club,2026,"£1,310.00",95,190,450,660,890,1120,450,910,490,265000,350
Disley Golf Club,2027,"£1,365.00",100,200,470,690,930,1170,470,950,510,278000,355
Macclesfield Golf Club,2026,"£1,180.00",80,165,400,600,800,1010,400,820,440,220000,330
Macclesfield Golf Club,2027,"£1,230.00",85,175,420,625,835,1055,420,855,460,231000,335
Tytherington Golf Club,2026,"£1,650.00",150,300,550,800,1100,1380,550,1150,680,480000,400
Tytherington Golf Club,2027,"£1,720.00",160,315,575,835,1150,1440,575,1200,710,503000,405
Alderley Edge Golf Club,2026,"£1,220.00",85,175,410,620,830,1050,410,850,450,230000,335
Alderley Edge Golf Club,2027,"£1,270.00",90,185,430,650,870,1100,430,885,470,241000,340
Styal Golf Club,2026,"£1,150.00",75,160,390,580,780,990,390,800,420,210000,325
Styal Golf Club,2027,"£1,195.00",80,170,410,605,815,1035,410,835,440,220000,330
Congleton Golf Club,2026,"£1,140.00",75,155,380,570,770,980,380,790,420,205000,320
Congleton Golf Club,2027,"£1,185.00",80,165,400,595,805,1025,400,825,440,215000,325
Astbury Golf Club,2026,"£1,350.00",100,205,460,680,920,1160,460,940,510,280000,360
Astbury Golf Club,2027,"£1,405.00",105,215,480,710,960,1210,480,980,530,293000,365
Crewe Golf Club,2026,"£1,320.00",95,195,450,670,900,1140,450,920,490,270000,355
Crewe Golf Club,2027,"£1,375.00",100,205,470,700,940,1190,470,960,510,282000,360
Alsager Golf Club,2026,"£1,160.00",75,160,390,590,790,1000,390,810,430,215000,325
Alsager Golf Club,2027,"£1,210.00",80,170,410,615,825,1045,410,845,450,225000,330
Malkins Bank Golf Club,2026,"£950.00",55,125,320,480,640,810,320,660,350,160000,290
Malkins Bank Golf Club,2027,"£990.00",60,130,335,500,670,850,335,690,365,168000,295
Wychwood Park Golf Club,2026,"£1,450.00",115,230,500,750,1010,1270,500,1020,560,320000,375
Wychwood Park Golf Club,2027,"£1,510.00",120,240,520,780,1055,1325,520,1065,585,335000,380
Pryors Hayes Golf Club,2026,"£1,190.00",80,165,400,600,810,1020,400,830,440,225000,330
Pryors Hayes Golf Club,2027,"£1,240.00",85,175,420,625,845,1065,420,865,460,235000,335
Carden Park Golf Resort,2026,"£1,850.00",200,400,680,950,1300,1600,680,1320,800,620000,440
Carden Park Golf Resort,2027,"£1,930.00",210,420,710,990,1355,1670,710,1380,835,648000,445
Upton-by-Chester Golf Club,2026,"£1,380.00",105,210,470,700,940,1190,470,960,520,290000,365
Upton-by-Chester Golf Club,2027,"£1,435.00",110,220,490,730,980,1240,490,1000,540,303000,370
Ellesmere Port Golf Club,2026,"£1,100.00",70,150,370,550,740,940,370,760,400,195000,315
Ellesmere Port Golf Club,2027,"£1,145.00",75,160,390,575,775,985,390,795,420,205000,320
Eastham Lodge Golf Club,2026,"£1,210.00",85,175,410,620,830,1050,410,840,450,230000,335
Eastham Lodge Golf Club,2027,"£1,260.00",90,185,430,650,870,1100,430,875,470,241000,340
Hurlston Hall Golf Club,2026,"£1,460.00",115,230,500,750,1010,1280,500,1030,570,330000,380
Hurlston Hall Golf Club,2027,"£1,520.00",120,240,520,780,1055,1335,520,1075,595,345000,385
Mossock Hall Golf Club,2026,"£1,280.00",90,185,440,650,870,1100,440,890,480,260000,350
Mossock Hall Golf Club,2027,"£1,330.00",95,195,460,680,910,1150,460,930,500,272000,355
Shaw Hill Golf Resort,2026,"£1,420.00",110,220,480,720,970,1230,480,990,540,310000,370
Shaw Hill Golf Resort,2027,"£1,480.00",115,230,500,750,1010,1280,500,1030,560,325000,375
Chorley Golf Club,2026,"£1,360.00",100,205,460,690,930,1170,460,940,510,285000,360
Chorley Golf Club,2027,"£1,415.00",105,215,480,720,970,1220,480,980,530,298000,365
Leyland Golf Club,2026,"£1,340.00",95,195,450,670,910,1150,450,930,500,275000,355
Leyland Golf Club,2027,"£1,395.00",100,205,470,700,950,1200,470,970,520,288000,360
Fishwick Hall Golf Club,2026,"£1,120.00",70,150,380,560,760,960,380,780,410,200000,320
Fishwick Hall Golf Club,2027,"£1,165.00",75,160,400,585,795,1005,400,815,430,210000,325
Longridge Golf Club,2026,"£1,260.00",85,180,430,640,860,1090,430,880,470,250000,345
Longridge Golf Club,2027,"£1,310.00",90,190,450,670,900,1140,450,920,490,261000,350
Mytton Fold Golf Club,2026,"£1,080.00",65,145,370,550,740,930,370,750,400,190000,315
Mytton Fold Golf Club,2027,"£1,125.00",70,150,385,575,775,975,385,785,420,199000,320
Stonyhurst Park Golf Club,2026,"£980.00",60,130,340,500,670,850,340,680,360,165000,290
Stonyhurst Park Golf Club,2027,"£1,020.00",65,135,355,520,700,890,355,710,375,173000,295
Great Harwood Golf Club,2026,"£940.00",55,120,320,480,640,810,320,650,340,155000,285
Great Harwood Golf Club,2027,"£980.00",60,125,335,500,670,850,335,680,355,162000,290
Accrington Golf Club,2026,"£1,240.00",85,175,420,630,840,1070,420,860,460,240000,340
Accrington Golf Club,2027,"£1,290.00",90,185,440,660,880,1120,440,895,480,251000,345
Baxenden Golf Club,2026,"£1,020.00",60,135,350,520,700,880,350,710,380,175000,300
Baxenden Golf Club,2027,"£1,060.00",65,140,365,540,730,920,365,740,395,183000,305
Rishton Golf Club,2026,"£960.00",55,125,330,490,650,830,330,670,350,160000,290
Rishton Golf Club,2027,"£1,000.00",60,130,345,510,680,870,345,700,365,168000,295
Blackburn Golf Club,2026,"£1,310.00",95,190,450,670,900,1140,450,910,490,265000,355
Blackburn Golf Club,2027,"£1,365.00",100,200,470,700,940,1190,470,950,510,278000,360
Darwen Golf Club,2026,"£1,150.00",75,160,390,580,780,990,390,800,420,210000,325
Darwen Golf Club,2027,"£1,195.00",80,170,410,605,815,1035,410,835,440,220000,330
Green Haworth Golf Club,2026,"£890.00",50,115,300,450,600,770,300,620,330,145000,275
Green Haworth Golf Club,2027,"£925.00",55,120,315,470,630,805,315,645,345,152000,280
Towneley Golf Club,2026,"£920.00",50,120,310,460,620,790,310,640,340,150000,280
Towneley Golf Club,2027,"£955.00",55,125,325,480,650,825,325,665,355,157000,285
Burnley Golf Club,2026,"£1,220.00",85,175,420,620,840,1060,420,850,450,235000,340
Burnley Golf Club,2027,"£1,270.00",90,185,440,650,880,1110,440,885,470,246000,345
Nelson Golf Club,2026,"£1,180.00",80,165,400,600,800,1020,400,820,440,220000,330
Nelson Golf Club,2027,"£1,230.00",85,175,420,625,835,1065,420,855,460,231000,335
Colne Golf Club,2026,"£1,100.00",70,150,370,550,740,940,370,760,400,195000,315
Colne Golf Club,2027,"£1,145.00",75,160,390,575,775,985,390,795,420,205000,320
Marsden Park Golf Club,2026,"£880.00",50,110,300,440,590,760,300,610,320,140000,270
Marsden Park Golf Club,2027,"£915.00",55,115,315,460,620,795,315,635,335,147000,275
Pendle Forest Golf Club,2026,"£940.00",55,120,320,480,640,810,320,650,340,155000,285
Pendle Forest Golf Club,2027,"£980.00",60,125,335,500,670,850,335,680,355,162000,290
Rossendale Golf Club,2026,"£1,290.00",90,185,440,660,880,1120,440,900,480,260000,350
Rossendale Golf Club,2027,"£1,340.00",95,195,460,690,920,1170,460,940,500,272000,355
Bacup Golf Club,2026,"£1,010.00",60,135,350,520,690,870,350,700,370,170000,295
Bacup Golf Club,2027,"£1,050.00",65,140,365,540,720,910,365,730,385,178000,300
Todmorden Golf Club,2026,"£990.00",60,130,340,500,680,860,340,690,360,165000,290
Todmorden Golf Club,2027,"£1,030.00",65,135,355,520,710,900,355,720,375,173000,295
Rochdale Golf Club,2026,"£1,350.00",100,205,460,680,920,1160,460,940,510,280000,360
Rochdale Golf Club,2027,"£1,405.00",105,215,480,710,960,1210,480,980,530,293000,365
Castleton Golf Club,2026,"£1,040.00",65,140,360,540,720,910,360,730,390,180000,305
Castleton Golf Club,2027,"£1,080.00",70,145,375,560,750,950,375,760,405,189000,310
Crompton & Royton Golf Club,2026,"£1,260.00",85,180,430,640,860,1090,430,880,470,250000,345
Crompton & Royton Golf Club,2027,"£1,310.00",90,190,450,670,900,1140,450,920,490,261000,350
Oldham Golf Club,2026,"£1,150.00",75,160,390,580,780,990,390,800,420,210000,325
Oldham Golf Club,2027,"£1,195.00",80,170,410,605,815,1035,410,835,440,220000,330
Saddleworth Golf Club,2026,"£1,280.00",90,185,440,650,870,1100,440,890,480,258000,350
Saddleworth Golf Club,2027,"£1,330.00",95,195,460,680,910,1150,460,930,500,270000,355
Brookdale Golf Club,2026,"£1,190.00",80,165,400,600,810,1020,400,830,440,225000,330
Brookdale Golf Club,2027,"£1,240.00",85,175,420,625,845,1065,420,865,460,235000,335
Stamford Golf Club,2026,"£1,210.00",85,175,410,620,830,1050,410,840,450,230000,335
Stamford Golf Club,2027,"£1,260.00",90,185,430,650,870,1100,430,875,470,241000,340
Denton Golf Club,2026,"£1,330.00",100,200,460,680,910,1150,460,930,500,275000,355
